Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Mitchell Trubisky,BUF,QB,2.0,5.69,78.51,13.27,122.71,20.84,0.65,782.76,130.83,6.16,4.08,0.7,4.72,0.84,7.73,1.32,17.11,3.02,52.66,9.23,2.99,6.19,1.09,1.86,0.34,0.69,0.13,139.83,23.86,6.19,1.09,0.76,59.8,10.21,9.4,6.52,10.49,3.81,1.11,0.04,0.73,0.0,0.17,0.0,8.14,59.8,10.21,9.4,6.52,10.49,3.81,1.11,0.04,0.73,0.0,0.17,0.0,8.68,59.8,10.21,9.4,6.52,10.49,3.81,1.11,0.04,0.73,0.0,0.17,0.0,8.14,5,0.0,0.0,72.5
Aaron Rodgers,NYJ,QB,2.0,7.01,136.93,8.24,207.16,13.03,0.26,1484.94,89.46,2.77,11.94,0.72,3.55,0.21,12.24,1.31,13.12,0.79,38.98,2.35,1.14,3.79,0.23,0.66,0.04,1.06,0.06,220.28,13.82,3.79,0.23,0.56,110.28,6.66,7.2,1.85,7.38,2.18,1.41,1.67,1.16,0.59,0.25,0.05,7.44,110.28,6.66,7.2,1.85,7.38,2.18,1.41,1.67,1.16,0.59,0.25,0.05,7.55,110.28,6.66,7.2,1.85,7.38,2.18,1.41,1.67,1.16,0.59,0.25,0.05,7.44,5,10.71,182.07,26.0
Bailey Zappe,NE,QB,1.0,8.29,109.29,13.71,177.71,21.71,0.63,1131.71,146.64,6.71,5.71,0.79,7.29,0.86,19.57,2.21,15.0,1.93,59.29,5.93,3.49,4.29,0.43,0.71,0.07,1.57,0.29,192.71,23.64,4.29,0.43,0.87,67.77,8.56,6.19,7.0,8.72,5.86,1.43,0.29,0.71,0.0,0.08,0.0,7.17,67.77,8.56,6.19,7.0,8.72,5.86,1.43,0.29,0.71,0.0,0.08,0.0,7.38,67.77,8.56,6.19,7.0,8.72,5.86,1.43,0.29,0.71,0.0,0.08,0.0,7.17,2,4.65,79.05,47.0
Jarrett Stidham,DEN,QB,2.0,3.09,42.77,14.13,69.68,22.97,0.61,529.22,174.91,7.55,2.55,0.84,1.63,0.52,6.87,2.26,10.28,3.39,28.72,9.54,2.29,2.73,0.89,0.0,0.0,0.27,0.09,79.96,26.36,2.73,0.89,0.57,32.11,10.61,13.42,8.99,9.95,1.86,0.96,0.0,0.0,0.27,0.14,0.14,6.89,32.11,10.61,13.42,8.99,9.95,1.86,0.96,0.0,0.0,0.27,0.14,0.14,7.33,32.11,10.61,13.42,8.99,9.95,1.86,0.96,0.0,0.0,0.27,0.14,0.14,6.89,5,0.0,0.0,72.5
Tyrod Taylor,NYJ,QB,1.0,7.99,83.26,9.37,130.67,14.79,0.66,945.42,105.28,7.21,3.92,0.48,2.8,0.37,12.61,1.52,26.04,2.98,153.46,19.91,7.51,7.66,1.05,0.54,0.09,0.22,0.07,156.72,17.78,7.66,1.05,0.84,69.25,8.27,6.33,7.52,8.13,5.59,0.36,1.3,0.74,0.0,0.09,0.0,6.67,69.25,8.27,6.33,7.52,8.13,5.59,0.36,1.3,0.74,0.0,0.09,0.0,7.19,69.25,8.27,6.33,7.52,8.13,5.59,0.36,1.3,0.74,0.0,0.09,0.0,6.67,5,8.82,149.93,39.0
Jacoby Brissett,NE,QB,2.0,6.81,83.18,9.12,127.53,13.26,0.71,907.37,103.42,8.38,5.3,0.87,1.87,0.14,7.86,0.6,16.46,1.71,79.2,8.87,5.53,8.14,0.61,0.71,0.05,1.28,0.1,143.99,14.97,8.14,0.61,0.73,65.47,8.53,9.83,7.15,8.5,4.03,1.95,0.34,0.25,0.25,0.04,0.02,6.86,65.47,8.53,9.83,7.15,8.5,4.03,1.95,0.34,0.25,0.25,0.04,0.02,7.16,65.47,8.53,9.83,7.15,8.5,4.03,1.95,0.34,0.25,0.25,0.04,0.02,6.86,5,9.94,169.02,31.0
Andy Dalton,CAR,QB,2.0,6.52,106.2,14.02,165.19,22.65,0.62,1164.21,151.04,6.59,7.0,0.88,3.42,0.3,10.72,1.36,11.92,1.44,32.67,4.76,3.53,3.34,0.58,0.0,0.0,0.38,0.03,177.11,24.09,3.34,0.58,0.72,74.52,9.73,4.75,10.88,9.12,4.12,0.97,0.29,0.86,0.29,0.35,0.02,6.8,74.52,9.73,4.75,10.88,9.12,4.12,0.97,0.29,0.86,0.29,0.35,0.02,7.09,74.52,9.73,4.75,10.88,9.12,4.12,0.97,0.29,0.86,0.29,0.35,0.02,6.8,5,8.63,146.64,40.0
Marcus Mariota,WAS,QB,2.0,5.78,55.33,7.25,89.35,11.54,0.62,656.84,84.67,6.73,4.35,0.53,2.87,0.41,8.74,1.15,27.5,3.79,151.94,23.66,6.32,11.99,2.2,1.12,0.13,1.35,0.26,116.85,15.33,11.99,2.2,0.68,61.01,7.77,6.04,5.52,7.09,3.52,0.49,0.99,0.29,0.49,0.11,0.04,5.45,61.01,7.77,6.04,5.52,7.09,3.52,0.49,0.99,0.29,0.49,0.11,0.04,6.55,61.01,7.77,6.04,5.52,7.09,3.52,0.49,0.99,0.29,0.49,0.11,0.04,5.45,5,0.0,0.0,72.5
Mason Rudolph,TEN,QB,2.0,3.79,50.82,13.78,70.29,19.35,0.71,640.57,168.35,8.96,2.69,0.7,0.18,0.08,4.95,1.24,9.19,2.44,13.15,5.04,1.99,3.66,1.01,0.0,0.0,0.82,0.2,79.48,21.8,3.66,1.01,0.63,35.9,9.56,9.23,8.42,9.19,2.79,0.13,0.87,0.0,0.0,0.0,0.0,5.9,35.9,9.56,9.23,8.42,9.19,2.79,0.13,0.87,0.0,0.0,0.0,0.0,6.41,35.9,9.56,9.23,8.42,9.19,2.79,0.13,0.87,0.0,0.0,0.0,0.0,5.9,5,0.0,0.0,72.5
Sam Darnold,MIN,QB,2.0,9.29,69.93,7.8,117.15,13.11,0.6,800.39,93.21,6.84,4.2,0.51,3.07,0.33,10.99,1.18,25.52,2.88,65.77,7.81,2.13,6.89,0.81,1.68,0.19,1.58,0.18,142.68,15.99,6.89,0.81,0.92,59.47,7.04,5.47,6.51,7.04,7.23,0.24,1.1,0.63,0.1,0.15,0.01,5.94,59.47,7.04,5.47,6.51,7.04,7.23,0.24,1.1,0.63,0.1,0.15,0.01,6.34,59.47,7.04,5.47,6.51,7.04,7.23,0.24,1.1,0.63,0.1,0.15,0.01,5.94,5,0.0,0.0,72.5
