Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Tim Boyle,NYG,QB,2.0,3.0,3.0,1.0,4.0,1.33,0.75,15.0,5.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.67,-7.0,-2.33,-1.4,1.0,0.33,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.33,0.56,-0.1,-0.03,-0.3,0.55,-0.06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-0.1,-0.03,-0.3,0.55,-0.06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.1,-0.03,-0.3,0.55,-0.06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1,0.0,0.0,71.0
Joshua Dobbs,SF,QB,2.0,2.14,1.71,0.34,3.43,0.69,0.14,12.29,2.46,1.02,0.0,0.0,0.29,0.06,0.0,0.0,1.14,0.23,3.14,0.63,0.79,0.57,0.11,0.0,0.0,0.0,0.0,4.57,0.91,0.57,0.11,0.41,0.26,0.05,-0.03,0.14,0.1,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.26,0.05,-0.03,0.14,0.1,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.26,0.05,-0.03,0.14,0.1,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2,0.0,0.0,71.0
Cooper Rush,DAL,QB,3.0,1.74,0.1,0.05,0.31,0.15,0.03,0.21,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.1,1.33,0.67,0.67,0.1,0.05,0.0,0.0,0.0,0.0,0.51,0.26,0.1,0.05,0.4,0.14,0.07,0.07,0.1,0.12,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.07,0.07,0.1,0.12,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.07,0.07,0.1,0.12,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3,0.0,0.0,71.0
Joe Webb III,FA,QB,0.0,6.38,0.21,0.01,0.72,0.05,0.03,3.59,0.22,0.51,0.0,0.0,0.1,0.01,0.0,0.0,0.82,0.05,5.54,0.35,0.69,0.41,0.03,0.0,0.0,0.0,0.0,1.54,0.1,0.41,0.03,0.54,0.83,0.05,0.0,0.17,0.1,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.83,0.05,0.0,0.17,0.1,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.83,0.05,0.0,0.17,0.1,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3,0.0,0.0,71.0
Chad Henne,FA,QB,0.0,1.1,0.51,0.51,0.97,0.87,0.17,7.44,7.44,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.51,0.26,0.51,0.67,0.1,0.05,0.0,0.0,0.0,0.0,1.74,1.38,0.1,0.05,0.3,0.33,0.36,0.36,0.01,-0.08,1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.33,0.36,0.36,0.01,-0.08,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.33,0.36,0.36,0.01,-0.08,1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3,0.0,0.0,71.0
Garrett Gilbert,FA,QB,0.0,4.57,0.57,0.57,3.0,1.21,0.19,11.43,11.43,3.81,0.0,0.0,0.0,0.0,0.29,0.29,2.14,0.36,-2.14,-0.36,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,5.14,1.57,0.0,0.0,0.64,0.24,0.42,0.42,0.04,-0.12,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.24,0.42,0.42,0.04,-0.12,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.24,0.42,0.42,0.04,-0.12,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2,0.0,0.0,71.0
Chad Kelly,FA,QB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,-0.29,-0.29,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.0,0.28,-0.03,-0.03,-0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,-0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,-0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,71.0
Nate Sudfeld,FA,QB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,71.0
Alex Tanney,FA,QB,0.0,1.0,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,71.0
Brandon Weeden,FA,QB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,-0.29,-0.29,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.0,0.28,-0.03,-0.03,-0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,-0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,-0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,71.0
James Franklin,FA,QB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,71.0
Taylor Heinicke,LAC,QB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,71.0
Drew Anderson,FA,QB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,71.0
Trevor Siemian,TEN,QB,2.0,1.0,3.0,3.0,6.0,6.0,0.5,3.0,3.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.28,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,71.0
Jarrett Stidham,DEN,QB,1.0,3.0,2.0,0.67,4.0,1.33,0.5,14.0,4.67,3.5,0.0,0.0,1.0,0.33,1.0,0.33,2.0,0.67,-2.0,-0.67,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.56,-0.6,-0.2,-0.2,0.2,-0.49,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.6,-0.2,-0.2,0.2,-0.49,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.6,-0.2,-0.2,0.2,-0.49,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,1,0.0,0.0,71.0
