Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Cameron Dicker,LAC,K,1.0,14.6,27.0,1.86,28.6,1.96,0.94,52.2,36.84,0.0,0.0,7.0,0.5,7.6,0.54,8.2,0.57,4.2,0.25,30.6,2.11,30.6,2.11,1.0,116.4,8.0,1.0,128.2,8.75,8.0,3.98,7.97,3.8,3.0,3.0,2.4,2.4,0.48,0.19,7.98,128.2,8.75,8.0,3.98,7.97,5.0,2.0,2.6,2.6,2.4,0.51,0.19,8.0,128.2,8.75,8.0,3.98,7.97,3.8,3.0,3.0,2.4,2.4,0.48,0.19,7.98,2,7.61,129.31,15.0
Blake Grupe,NO,K,1.0,17.0,30.0,1.76,37.0,2.18,0.81,55.0,34.94,0.0,0.0,10.0,0.59,6.0,0.35,8.0,0.47,6.0,0.35,40.0,2.35,40.0,2.35,1.0,151.0,8.88,1.0,150.0,8.82,8.0,4.33,7.64,5.0,1.0,4.0,5.0,2.0,0.7,0.13,8.09,150.0,8.82,8.0,4.33,7.64,5.0,2.0,4.0,4.0,2.0,0.55,0.13,7.95,150.0,8.82,8.0,4.33,7.64,5.0,2.0,3.0,5.0,2.0,0.7,0.13,8.09,1,7.27,123.51,24.0
Dustin Hopkins,CLE,K,1.0,12.72,25.06,1.95,28.18,2.18,0.89,51.51,38.02,0.18,0.01,5.97,0.46,6.54,0.65,8.43,0.57,3.94,0.26,24.37,1.99,26.18,2.11,0.94,110.74,8.65,0.92,115.86,8.92,8.63,4.19,7.79,3.28,2.2,2.8,2.49,1.95,0.5,0.2,7.71,115.86,8.92,8.63,4.19,7.79,3.0,2.18,2.34,2.65,2.55,0.69,0.26,7.93,115.86,8.92,8.63,4.19,7.79,3.28,2.2,2.98,2.12,2.14,0.46,0.21,7.7,5,7.65,129.98,12.0
Harrison Butker,KC,K,1.0,15.58,26.38,1.67,29.68,1.9,0.88,59.57,35.41,0.25,0.01,6.68,0.43,9.65,0.6,5.12,0.33,4.69,0.3,40.89,2.65,42.83,2.78,0.96,131.86,8.47,1.0,134.55,8.58,7.91,4.23,7.52,4.94,2.85,2.37,3.49,1.94,0.54,0.15,7.83,134.55,8.58,7.91,4.23,7.52,4.28,3.77,2.77,2.65,2.12,0.45,0.16,7.77,134.55,8.58,7.91,4.23,7.52,4.94,3.12,2.28,3.31,1.94,0.51,0.15,7.81,5,7.79,132.49,4.0
Ryan Succop,FA,K,0.0,16.79,28.47,1.69,34.0,2.03,0.84,51.26,32.07,0.21,0.01,10.32,0.62,7.42,0.44,9.37,0.56,1.16,0.07,40.0,2.39,42.47,2.54,0.95,144.47,8.62,1.0,137.11,8.18,8.11,4.2,7.14,6.53,3.84,1.74,1.47,3.21,0.39,0.24,7.74,137.11,8.18,8.11,4.2,7.14,6.74,2.68,2.58,1.58,3.21,0.4,0.24,7.75,137.11,8.18,8.11,4.2,7.14,6.05,4.32,1.74,1.47,3.21,0.39,0.24,7.74,5,5.24,89.1,36.0
Brandon McManus,FA,K,0.0,16.75,28.46,1.7,35.25,2.11,0.81,56.89,37.78,0.0,0.0,5.35,0.32,6.86,0.41,9.8,0.59,6.45,0.39,30.51,1.82,31.62,1.89,0.96,137.35,8.2,1.0,138.58,8.28,7.54,4.7,7.04,6.65,2.15,3.05,0.8,4.11,0.43,0.33,7.57,138.58,8.28,7.54,4.7,7.04,6.65,1.71,2.66,1.91,3.83,0.54,0.3,7.65,138.58,8.28,7.54,4.7,7.04,6.65,2.4,2.8,0.8,4.11,0.43,0.33,7.57,5,6.25,106.24,31.0
Jason Sanders,MIA,K,1.0,16.88,25.85,1.54,31.02,1.84,0.83,55.22,33.35,0.12,0.01,5.97,0.35,7.0,0.41,8.77,0.52,3.98,0.24,46.15,2.73,47.58,2.82,0.97,140.63,8.34,1.0,140.43,8.34,7.94,4.16,7.31,5.63,2.83,2.37,3.92,2.12,0.63,0.16,7.82,140.43,8.34,7.94,4.16,7.31,5.62,2.98,3.52,2.91,1.85,0.46,0.14,7.63,140.43,8.34,7.94,4.16,7.31,6.05,2.42,2.37,4.2,1.85,0.63,0.14,7.79,5,7.64,129.87,13.0
Robbie Gould,FA,K,0.0,15.32,23.11,1.51,27.26,1.77,0.85,51.53,33.61,0.0,0.0,8.68,0.55,4.68,0.3,7.42,0.49,2.32,0.16,43.58,2.85,44.79,2.93,0.97,126.58,8.24,1.0,124.95,8.17,7.79,3.92,7.27,4.42,3.74,3.11,1.11,2.95,0.37,0.24,7.6,124.95,8.17,7.79,3.92,7.27,5.37,3.68,2.05,1.26,2.95,0.39,0.24,7.63,124.95,8.17,7.79,3.92,7.27,4.42,3.74,3.11,1.11,2.95,0.37,0.24,7.6,5,5.97,101.42,33.0
Tyler Bass,BUF,K,1.0,16.88,26.34,1.56,31.0,1.84,0.85,55.6,32.58,0.12,0.01,6.92,0.41,10.06,0.6,6.15,0.37,3.08,0.19,50.08,2.97,51.29,3.04,0.98,144.29,8.56,1.0,141.4,8.39,7.77,4.66,7.14,5.65,3.34,2.95,1.11,3.83,0.42,0.3,7.7,141.4,8.39,7.77,4.66,7.14,6.06,3.45,2.55,1.68,3.14,0.4,0.23,7.6,141.4,8.39,7.77,4.66,7.14,5.52,2.77,3.65,1.52,3.42,0.42,0.25,7.65,4,7.41,125.95,21.0
Cairo Santos,CHI,K,1.0,16.6,28.85,1.73,31.63,1.9,0.91,52.42,35.0,0.0,0.0,7.8,0.47,8.66,0.52,8.12,0.49,4.26,0.25,29.77,1.79,32.29,1.95,0.92,127.18,7.64,1.0,132.95,7.99,7.6,4.63,6.81,7.06,2.51,1.82,2.17,3.05,0.49,0.23,7.38,132.95,7.99,7.6,4.63,6.81,6.66,2.55,1.69,2.65,3.05,0.57,0.23,7.45,132.95,7.99,7.6,4.63,6.81,7.06,2.51,1.82,2.17,3.05,0.49,0.23,7.38,5,7.36,125.2,22.0
