Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Matt Prater,ARI,K,1.0,14.95,26.05,1.76,30.11,2.04,0.87,57.05,39.36,0.0,0.0,7.37,0.51,5.26,0.35,7.89,0.53,5.53,0.36,30.47,2.03,32.05,2.13,0.96,122.37,8.24,1.0,127.58,8.55,7.95,3.71,7.74,3.21,4.11,2.63,2.79,2.21,0.53,0.17,7.93,127.58,8.55,7.95,3.71,7.74,3.58,3.68,2.47,2.53,2.68,0.61,0.21,8.04,127.58,8.55,7.95,3.71,7.74,3.42,3.42,3.21,2.21,2.68,0.57,0.21,8.0,3,7.63,129.74,2.0
Dan Bailey,FA,K,0.0,16.0,27.53,1.72,31.37,1.96,0.88,55.37,34.77,0.0,0.0,8.37,0.52,8.21,0.51,6.89,0.43,4.05,0.25,41.47,2.59,41.47,2.59,1.0,135.58,8.48,1.0,139.05,8.69,8.21,4.11,7.62,3.79,2.68,4.63,1.74,3.16,0.44,0.25,8.03,139.05,8.69,8.21,4.11,7.62,4.16,2.79,4.16,1.74,3.16,0.44,0.25,8.03,139.05,8.69,8.21,4.11,7.62,4.16,2.32,4.63,1.26,3.63,0.44,0.31,8.1,3,5.55,94.31,15.0
Cairo Santos,CHI,K,1.0,16.0,29.42,1.84,34.58,2.16,0.85,53.47,33.05,0.21,0.01,8.11,0.51,11.53,0.72,7.16,0.45,2.42,0.15,37.37,2.34,39.42,2.47,0.95,143.16,8.95,1.0,137.66,8.6,7.89,5.01,7.22,6.79,0.68,2.74,2.05,3.74,0.57,0.32,7.98,137.66,8.6,7.89,5.01,7.22,5.84,2.11,2.11,2.0,3.95,0.61,0.33,8.03,137.66,8.6,7.89,5.01,7.22,7.05,0.42,2.26,2.53,3.74,0.65,0.32,8.06,3,6.98,118.68,5.0
Chris Boswell,PIT,K,1.0,13.8,24.2,1.81,27.8,2.07,0.87,49.8,33.43,0.4,0.03,4.8,0.38,8.0,0.59,10.2,0.74,0.8,0.07,32.0,2.31,32.4,2.34,0.98,115.8,8.54,1.0,116.4,8.6,8.4,5.05,7.19,4.4,2.6,2.2,2.8,1.8,0.71,0.17,8.01,116.4,8.6,8.4,5.05,7.19,5.0,2.6,2.2,2.2,1.8,0.65,0.17,7.95,116.4,8.6,8.4,5.05,7.19,4.4,3.6,1.2,2.8,1.8,0.71,0.17,8.01,2,6.82,115.87,6.0
Mason Crosby,FA,K,0.0,16.0,25.58,1.6,30.0,1.88,0.86,54.37,33.46,0.79,0.05,6.53,0.41,9.74,0.61,5.95,0.37,2.58,0.16,43.37,2.71,44.79,2.8,0.97,134.79,8.42,1.0,131.21,8.2,8.08,3.94,7.36,4.95,2.74,4.0,2.58,1.74,0.39,0.13,7.65,131.21,8.2,8.08,3.94,7.36,5.05,2.37,4.26,2.84,1.47,0.39,0.11,7.63,131.21,8.2,8.08,3.94,7.36,4.63,3.05,4.0,2.84,1.47,0.39,0.11,7.63,3,4.81,81.76,28.0
Brandon McManus,FA,K,0.0,15.79,25.11,1.58,29.89,1.88,0.82,53.32,31.51,0.0,0.0,9.11,0.57,7.68,0.48,5.32,0.33,3.0,0.19,34.84,2.21,35.63,2.26,0.98,125.32,7.9,1.0,121.76,7.67,8.0,3.94,6.81,6.16,2.11,2.53,2.89,2.11,0.49,0.15,7.49,121.76,7.67,8.0,3.94,6.81,6.16,1.95,2.68,2.89,2.11,0.49,0.15,7.49,121.76,7.67,8.0,3.94,6.81,6.37,1.89,2.53,3.21,1.79,0.49,0.13,7.45,3,5.14,87.3,19.0
Josh Lambo,FA,K,0.0,16.0,26.0,1.62,32.0,2.0,0.81,49.8,33.6,0.0,0.0,5.8,0.36,10.6,0.66,8.0,0.5,1.6,0.1,36.4,2.27,40.0,2.5,0.91,136.0,8.5,1.0,125.6,7.85,7.7,3.89,7.01,5.2,2.8,3.0,2.8,2.2,0.45,0.17,7.49,125.6,7.85,7.7,3.89,7.01,5.6,2.6,2.8,2.8,2.2,0.45,0.17,7.49,125.6,7.85,7.7,3.89,7.01,5.2,2.8,3.0,2.8,2.2,0.45,0.17,7.49,2,4.44,75.55,33.0
Chandler Catanzaro,FA,K,0.0,16.0,24.89,1.55,30.0,1.88,0.82,54.0,31.73,0.79,0.05,7.21,0.45,8.21,0.51,6.84,0.43,1.84,0.12,42.79,2.68,46.26,2.89,0.93,136.26,8.52,1.0,128.0,8.0,7.47,3.74,7.18,4.74,3.47,2.95,2.89,1.95,0.44,0.15,7.43,128.0,8.0,7.47,3.74,7.18,4.47,3.95,3.26,2.37,1.95,0.37,0.15,7.36,128.0,8.0,7.47,3.74,7.18,4.74,4.47,1.95,3.32,1.53,0.44,0.11,7.39,3,4.9,83.32,25.0
Nick Novak,FA,K,0.0,15.05,26.89,1.76,31.53,2.07,0.85,52.16,32.36,0.68,0.04,8.84,0.58,8.79,0.58,5.89,0.39,2.68,0.18,28.0,1.88,30.05,2.02,0.92,124.63,8.22,1.0,119.95,7.91,7.58,4.56,6.76,4.74,3.95,2.05,2.16,2.16,0.41,0.16,7.26,119.95,7.91,7.58,4.56,6.76,4.74,2.53,3.16,2.47,2.16,0.45,0.16,7.3,119.95,7.91,7.58,4.56,6.76,4.74,3.95,2.26,1.47,2.63,0.39,0.21,7.29,3,4.54,77.15,30.0
Connor Barth,FA,K,0.0,12.42,18.95,1.77,23.11,2.09,0.83,52.84,32.94,0.42,0.08,7.0,0.61,6.89,0.63,3.0,0.3,1.63,0.15,25.74,2.21,26.53,2.26,0.97,95.84,8.54,0.94,88.84,8.11,8.32,4.08,7.05,7.0,1.26,1.0,1.58,1.58,0.61,0.42,7.16,88.84,8.11,8.32,4.08,7.05,6.68,1.11,1.47,1.26,1.89,0.61,0.47,7.21,88.84,8.11,8.32,4.08,7.05,7.32,0.95,1.0,1.26,1.89,0.61,0.47,7.21,3,4.55,77.36,29.0
Josh Brown,FA,K,0.0,10.79,19.74,1.95,21.26,2.11,0.93,50.63,35.07,1.0,0.13,4.58,0.48,7.11,0.64,5.26,0.59,1.79,0.11,27.42,2.3,27.74,2.32,0.99,91.53,8.65,0.87,95.47,8.96,8.21,4.17,8.02,4.16,0.63,1.79,1.47,2.74,0.66,0.26,7.22,95.47,8.96,8.21,4.17,8.02,3.95,0.84,1.79,1.79,2.42,0.66,0.21,7.18,95.47,8.96,8.21,4.17,8.02,3.53,1.58,1.47,1.47,2.74,0.66,0.26,7.22,3,5.19,88.24,18.0
Sebastian Janikowski,FA,K,0.0,16.0,24.37,1.52,29.42,1.84,0.83,56.21,29.85,0.47,0.03,6.89,0.43,5.47,0.34,8.21,0.51,3.32,0.21,35.42,2.21,36.68,2.29,0.97,124.95,7.81,1.0,123.37,7.71,7.47,4.78,6.5,6.84,2.37,3.05,1.32,2.42,0.32,0.19,7.01,123.37,7.71,7.47,4.78,6.5,6.53,1.89,3.53,0.53,3.53,0.35,0.3,7.17,123.37,7.71,7.47,4.78,6.5,6.63,2.47,3.16,1.0,2.74,0.32,0.22,7.04,3,4.94,83.92,24.0
Nick Folk,TEN,K,1.0,13.47,23.63,1.73,27.95,2.06,0.84,53.11,36.94,0.0,0.0,9.05,0.6,8.11,0.62,4.26,0.33,2.21,0.18,22.21,1.77,23.16,1.82,0.96,107.0,8.01,0.96,101.79,7.64,7.84,4.02,6.74,4.89,2.21,2.32,2.42,1.63,0.41,0.15,7.04,101.79,7.64,7.84,4.02,6.74,4.21,3.84,1.05,3.05,1.32,0.5,0.1,7.06,101.79,7.64,7.84,4.02,6.74,4.42,3.16,1.84,2.42,1.63,0.41,0.15,7.04,3,6.66,113.28,8.0
Mike Nugent,FA,K,0.0,14.58,23.63,1.63,29.53,2.04,0.8,49.0,31.09,0.0,0.0,7.42,0.53,7.95,0.56,7.63,0.51,0.63,0.04,34.26,2.3,37.11,2.52,0.9,125.68,8.65,1.0,114.05,7.79,6.68,4.46,6.78,4.95,4.05,1.84,1.63,2.11,0.34,0.18,6.91,114.05,7.79,6.68,4.46,6.78,4.89,4.11,1.37,1.79,2.42,0.41,0.2,7.01,114.05,7.79,6.68,4.46,6.78,5.26,3.42,2.0,1.79,2.11,0.38,0.18,6.94,3,5.11,86.9,20.0
Dan Carpenter,FA,K,0.0,16.0,23.42,1.46,28.37,1.77,0.82,54.21,32.84,0.47,0.03,7.26,0.45,7.42,0.46,5.58,0.35,2.68,0.17,36.21,2.26,40.68,2.54,0.89,125.79,7.86,1.0,117.42,7.34,6.95,3.78,6.56,7.16,2.26,1.89,3.32,1.37,0.46,0.12,6.85,117.42,7.34,6.95,3.78,6.56,7.74,2.0,1.11,3.84,1.32,0.51,0.1,6.9,117.42,7.34,6.95,3.78,6.56,7.26,2.16,2.11,3.32,1.16,0.42,0.09,6.79,3,5.02,85.33,23.0
Blair Walsh,FA,K,0.0,12.68,21.89,1.64,27.26,2.07,0.79,52.32,34.71,0.89,0.08,4.16,0.28,8.16,0.63,5.26,0.42,3.42,0.24,23.63,1.82,26.79,2.11,0.87,108.58,8.33,0.97,101.42,7.65,7.05,4.69,6.47,4.58,2.79,2.0,1.58,1.74,0.35,0.15,6.66,101.42,7.65,7.05,4.69,6.47,4.58,2.79,2.32,1.37,1.63,0.29,0.14,6.6,101.42,7.65,7.05,4.69,6.47,4.84,2.32,2.21,1.58,1.74,0.35,0.15,6.66,3,4.84,82.33,26.0
Kai Forbath,LAR,K,1.0,10.16,15.32,1.62,17.53,1.8,0.87,52.47,31.14,0.0,0.0,5.32,0.54,4.58,0.5,4.32,0.45,1.11,0.12,22.47,2.13,24.21,2.36,0.89,76.79,7.76,0.92,74.95,7.68,7.37,3.51,7.02,3.63,1.68,2.89,1.26,0.68,0.22,0.1,6.34,74.95,7.68,7.37,3.51,7.02,3.16,3.11,1.47,1.74,0.68,0.33,0.1,6.45,74.95,7.68,7.37,3.51,7.02,3.16,1.84,2.95,1.53,0.68,0.31,0.1,6.42,3,5.85,99.39,14.0
Randy Bullock,FA,K,0.0,9.21,16.11,1.7,18.89,1.97,0.86,47.89,32.65,0.32,0.03,4.42,0.57,5.58,0.53,4.95,0.51,0.84,0.05,19.63,2.01,21.05,2.19,0.91,77.74,8.11,0.87,74.58,7.72,7.68,3.58,7.05,3.37,1.47,1.79,1.42,1.16,0.35,0.1,6.35,74.58,7.72,7.68,3.58,7.05,3.16,1.84,1.63,1.21,1.37,0.35,0.13,6.38,74.58,7.72,7.68,3.58,7.05,3.68,0.84,2.11,1.21,1.37,0.35,0.13,6.38,3,4.02,68.42,35.0
Shayne Graham,FA,K,0.0,9.4,14.2,1.8,16.6,2.11,0.85,52.4,38.16,0.0,0.0,3.6,0.39,6.0,0.7,2.4,0.32,2.2,0.38,23.2,2.11,23.2,2.11,1.0,73.0,8.44,0.83,72.6,8.58,8.2,4.32,7.42,4.2,1.4,0.4,2.4,1.0,1.03,0.18,6.62,72.6,8.58,8.2,4.32,7.42,3.8,1.8,1.0,1.8,1.0,0.53,0.18,6.37,72.6,8.58,8.2,4.32,7.42,4.2,1.4,0.4,2.4,1.0,1.03,0.18,6.62,3,4.52,76.9,31.0
Roberto Aguayo,FA,K,0.0,16.0,22.0,1.38,31.0,1.94,0.71,43.0,25.56,0.0,0.0,5.0,0.31,13.0,0.81,4.0,0.25,0.0,0.0,32.0,2.0,34.0,2.12,0.94,127.0,7.94,1.0,102.0,6.38,7.0,4.0,5.63,7.0,3.0,2.0,3.0,1.0,0.33,0.07,6.35,102.0,6.38,7.0,4.0,5.63,7.0,3.0,4.0,1.0,1.0,0.14,0.07,6.13,102.0,6.38,7.0,4.0,5.63,7.0,2.0,3.0,3.0,1.0,0.33,0.07,6.35,1,2.89,49.07,37.0
Robbie Gould,FA,K,0.0,12.32,17.05,1.28,19.58,1.45,0.9,49.11,27.05,0.32,0.02,4.79,0.37,5.0,0.37,4.74,0.38,2.21,0.14,24.21,1.99,25.63,2.13,0.94,84.37,6.49,0.98,84.53,6.5,6.24,3.78,5.77,6.74,1.05,1.0,1.16,2.37,0.48,0.24,6.14,84.53,6.5,6.24,3.78,5.77,6.74,1.53,0.53,1.79,1.74,0.48,0.16,6.06,84.53,6.5,6.24,3.78,5.77,6.74,1.05,1.0,1.16,2.37,0.48,0.24,6.14,3,4.49,76.26,32.0
