Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Salvon Ahmed,MIA,RB,4.0,8.53,27.13,3.25,90.73,11.4,3.55,4.93,0.63,12.47,5.74,0.07,0.01,1.0,0.13,11.13,1.25,16.0,1.79,68.73,7.62,6.74,2.8,0.3,0.53,0.06,38.27,4.5,43.13,5.04,7.73,0.94,0.0,0.0,0.0,0.91,25.28,3.07,1.74,3.66,3.56,6.93,0.07,1.4,0.07,0.07,0.03,0.01,2.38,30.85,3.69,2.51,3.98,4.25,6.4,0.53,1.47,0.07,0.07,0.03,0.01,3.39,36.41,4.32,3.25,4.35,5.0,6.4,0.53,1.4,0.13,0.07,0.07,0.01,3.48,4,-0.71,-12.09,185.0
Boston Scott,LAR,RB,3.0,12.93,42.0,3.24,178.4,13.76,4.25,10.13,0.79,22.0,6.45,0.67,0.05,1.8,0.14,6.87,0.53,9.33,0.72,56.93,4.47,9.15,2.0,0.16,0.07,0.0,48.87,3.76,51.33,3.96,12.13,0.95,0.67,0.05,0.02,1.0,33.4,2.59,2.27,3.01,2.98,11.0,0.33,0.93,0.4,0.27,0.06,0.03,2.61,36.83,2.85,2.56,3.13,3.3,10.87,0.47,1.2,0.13,0.27,0.04,0.03,3.31,40.27,3.12,2.83,3.28,3.69,11.07,0.6,0.87,0.27,0.13,0.04,0.01,3.07,5,0.03,0.43,89.0
Darrynton Evans,BUF,RB,2.0,4.6,22.0,4.41,86.13,17.63,3.96,6.27,1.18,13.8,8.4,0.27,0.09,0.53,0.09,4.4,0.87,7.2,1.34,38.2,8.38,14.17,1.6,0.36,0.07,0.01,26.4,5.28,29.2,5.75,7.87,1.54,0.0,0.0,0.0,0.67,16.03,3.21,2.21,3.16,3.86,3.2,0.8,0.0,0.6,0.0,0.12,0.0,2.24,18.23,3.65,2.67,3.62,4.31,3.2,0.8,0.0,0.6,0.0,0.12,0.0,3.27,20.43,4.09,3.14,4.09,4.82,3.73,0.27,0.0,0.6,0.0,0.12,0.0,2.79,4,0.0,0.0,136.0
Rico Dowdle,DAL,RB,3.0,11.62,55.31,3.46,224.0,14.01,2.76,10.54,0.66,13.46,5.83,1.23,0.07,1.23,0.07,10.46,0.65,13.54,0.85,88.62,5.54,5.21,3.69,0.23,1.23,0.07,65.77,4.11,68.85,4.31,14.23,0.89,0.0,0.0,0.0,0.83,46.03,2.88,1.42,2.81,3.2,8.54,0.0,0.62,2.46,0.0,0.2,0.0,2.53,51.26,3.21,1.75,2.93,3.57,8.54,0.0,0.62,2.46,0.0,0.2,0.0,3.26,56.49,3.53,2.22,3.08,4.0,8.54,0.0,1.23,1.85,0.0,0.14,0.0,3.1,4,0.89,15.21,85.0
Malcolm Brown,FA,RB,0.0,7.64,28.27,3.44,119.73,14.58,4.34,5.82,0.65,22.82,9.56,0.91,0.13,1.36,0.16,6.27,0.74,8.27,0.96,43.45,5.07,6.63,3.36,0.41,0.0,0.0,34.55,4.19,36.55,4.41,9.18,1.06,0.09,0.01,0.0,0.84,24.32,2.93,2.07,3.08,3.56,6.27,0.18,0.91,0.09,0.18,0.02,0.01,2.33,27.45,3.3,2.69,3.05,4.08,6.27,1.09,0.09,0.0,0.18,0.01,0.01,3.24,30.59,3.67,3.16,3.07,4.66,6.27,1.0,0.18,0.0,0.18,0.01,0.01,3.07,5,0.0,0.0,136.0
Tony Jones Jr.,ARI,RB,4.0,6.59,25.21,3.74,88.03,13.02,3.49,8.08,1.22,17.03,7.62,0.0,0.0,1.64,0.24,6.51,1.02,9.44,1.49,34.92,5.51,5.25,1.74,0.24,0.0,0.0,31.72,4.76,34.64,5.23,9.82,1.46,0.0,0.0,0.0,0.8,22.14,3.26,1.38,4.74,3.51,4.95,0.82,0.0,0.0,0.82,0.14,0.14,2.31,25.4,3.77,1.82,4.81,4.12,4.95,0.82,0.0,0.82,0.0,0.14,0.0,3.21,28.65,4.28,2.75,4.96,4.78,4.95,0.0,0.82,0.82,0.0,0.14,0.0,2.99,4,0.0,0.0,136.0
Zamir White,LV,RB,2.0,13.67,75.0,5.14,324.0,22.17,4.27,14.0,0.97,36.0,7.78,1.67,0.12,0.67,0.05,10.0,0.67,12.67,0.85,65.33,4.35,4.35,2.67,0.18,0.0,0.0,85.0,5.8,87.67,5.98,16.67,1.14,0.67,0.05,0.01,1.0,41.6,2.83,0.67,4.17,3.07,11.0,0.0,0.0,2.67,0.0,0.24,0.0,2.39,46.6,3.17,0.93,4.45,3.41,11.0,0.0,0.0,2.67,0.0,0.24,0.0,3.2,51.6,3.5,1.13,4.77,3.8,11.0,0.0,0.0,2.67,0.0,0.24,0.0,2.87,2,3.84,65.23,62.0
Jaret Patterson,LAC,RB,3.0,6.0,34.0,7.29,140.67,32.33,4.36,7.0,1.36,13.67,7.19,0.0,0.0,0.67,0.05,3.33,0.24,4.67,0.62,24.33,1.74,2.43,1.67,0.12,0.0,0.0,37.33,7.52,38.67,7.9,8.67,1.48,0.0,0.0,0.0,0.63,20.5,3.69,3.2,5.09,3.97,4.67,0.33,0.67,0.33,0.0,0.03,0.0,2.17,22.17,3.81,3.27,5.27,4.12,4.67,1.0,0.0,0.0,0.33,0.03,0.03,3.02,23.83,3.93,3.35,5.47,4.33,4.67,1.0,0.0,0.0,0.33,0.03,0.03,2.38,3,0.0,0.0,136.0
Zonovan Knight,DET,RB,3.0,3.67,30.33,5.05,108.67,18.62,4.06,4.67,0.67,21.33,8.05,0.33,0.05,0.33,0.05,5.0,0.95,5.33,1.0,38.67,7.43,7.9,1.67,0.24,0.0,0.0,35.33,6.0,35.67,6.05,6.33,0.9,0.0,0.0,0.0,0.57,16.73,2.89,2.17,1.96,3.81,2.67,0.0,0.33,0.67,0.0,0.13,0.0,2.25,19.23,3.37,2.67,1.97,3.49,2.67,0.0,0.0,1.0,0.0,0.25,0.0,2.92,21.73,3.84,3.17,2.45,5.21,2.67,0.0,0.0,1.0,0.0,0.25,0.0,2.96,2,0.0,0.0,136.0
Matt Breida,SF,RB,4.0,15.33,51.13,3.4,172.8,11.98,3.48,8.6,0.58,14.93,6.17,0.2,0.02,0.93,0.07,15.93,1.03,19.73,1.28,94.4,6.52,6.42,3.27,0.25,0.27,0.04,67.07,4.43,70.87,4.67,11.87,0.83,0.2,0.02,0.0,0.98,33.52,2.43,1.29,2.9,2.96,13.2,0.47,1.53,0.13,0.0,0.02,0.0,2.13,41.49,2.94,1.63,3.39,3.52,12.87,0.87,1.47,0.13,0.0,0.02,0.0,2.9,49.45,3.46,1.97,3.96,4.11,13.07,0.4,1.2,0.67,0.0,0.05,0.0,2.89,5,-0.52,-8.89,184.0
