Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Chris Carson,FA,RB,0.0,7.86,110.86,13.72,502.86,61.07,4.47,29.29,3.31,35.57,18.75,3.14,0.43,4.14,0.62,19.29,2.09,23.29,2.4,136.57,13.51,6.0,6.0,0.57,1.43,0.11,130.14,15.81,134.14,16.12,35.29,3.88,1.14,0.18,0.01,0.8,95.09,11.47,12.59,5.68,11.99,1.0,1.14,1.29,2.14,2.29,1.19,0.3,10.53,104.73,12.52,13.91,5.8,13.19,1.0,0.71,1.71,2.43,2.0,1.19,0.24,13.26,114.37,13.56,14.76,5.98,14.58,1.14,0.57,1.86,2.14,2.14,1.13,0.27,12.05,3,7.38,125.47,37.0
Kareem Hunt,KC,RB,1.0,10.43,107.29,9.79,486.43,45.43,4.64,26.29,2.48,30.57,14.59,2.0,0.2,4.86,0.49,28.71,2.84,36.29,3.54,227.0,22.38,7.91,13.57,1.32,1.57,0.1,136.0,12.63,143.57,13.32,39.86,3.81,0.0,0.0,0.0,0.92,111.06,10.53,10.07,6.96,10.48,2.71,1.86,1.0,2.57,2.29,0.9,0.28,9.99,125.41,11.95,11.93,7.6,11.81,3.0,1.14,1.43,2.57,2.29,0.9,0.28,13.08,139.77,13.37,13.39,8.31,13.32,2.86,1.29,1.14,2.86,2.29,0.97,0.28,12.34,3,8.04,136.64,30.0
Clyde Edwards-Helaire,NO,RB,2.0,11.0,139.67,12.57,612.33,55.06,4.37,27.0,2.4,21.67,12.01,1.0,0.08,4.0,0.37,24.67,2.19,33.33,2.92,177.67,15.48,6.89,9.33,0.84,1.67,0.16,164.33,14.76,173.0,15.49,36.33,3.24,1.33,0.13,0.01,0.97,111.67,10.09,8.8,5.3,10.74,2.0,1.67,3.0,2.67,1.67,0.65,0.17,10.08,124.0,11.18,10.07,5.43,12.0,2.0,1.33,3.33,3.33,1.0,0.65,0.1,12.6,136.33,12.28,11.47,5.63,13.45,2.0,2.33,2.33,3.33,1.0,0.65,0.1,12.1,2,7.64,129.85,34.0
Javonte Williams,DEN,RB,1.0,17.0,203.0,11.94,903.0,53.12,4.45,52.0,3.06,49.0,17.47,6.0,0.35,4.0,0.24,43.0,2.53,53.0,3.12,316.0,18.59,7.35,12.0,0.71,3.0,0.18,246.0,14.47,256.0,15.06,64.0,3.76,1.0,0.06,0.0,1.0,161.9,9.52,8.0,5.79,9.92,4.0,5.0,5.0,0.0,3.0,0.21,0.21,9.23,183.4,10.79,9.0,6.17,11.21,4.0,5.0,4.0,1.0,3.0,0.31,0.21,12.14,204.9,12.05,10.0,6.63,12.65,4.0,5.0,4.0,1.0,3.0,0.31,0.21,11.23,1,10.16,172.69,21.0
Miles Sanders,CAR,RB,1.0,12.57,150.71,12.03,795.43,63.85,5.31,34.29,2.77,54.43,22.7,5.86,0.47,2.14,0.17,30.0,2.35,43.29,3.42,219.29,16.76,6.94,8.43,0.65,0.43,0.03,180.71,14.38,194.0,15.45,42.71,3.41,1.29,0.1,0.01,1.0,116.9,9.24,7.68,5.39,9.78,4.14,3.43,0.86,2.71,1.43,0.54,0.14,9.31,131.9,10.41,8.84,5.7,11.03,4.0,3.43,1.0,2.71,1.43,0.54,0.14,11.97,146.9,11.59,9.82,6.09,12.43,4.71,2.43,1.57,2.43,1.43,0.46,0.14,11.16,3,8.18,139.07,29.0
Darrell Henderson Jr.,FA,RB,0.0,13.0,130.14,10.15,592.43,46.26,4.47,35.14,2.73,31.14,12.55,1.57,0.11,4.29,0.33,21.71,1.73,30.57,2.43,151.29,11.82,7.63,7.0,0.55,2.0,0.16,151.86,11.88,160.71,12.58,42.14,3.28,0.0,0.0,0.0,1.0,112.09,8.78,8.89,6.28,8.79,5.14,2.14,0.57,3.14,2.0,0.9,0.19,9.42,122.94,9.64,10.17,6.37,9.77,5.71,1.57,0.57,3.14,2.0,0.9,0.19,11.97,133.8,10.51,11.17,6.52,10.92,5.14,2.43,0.29,3.14,2.0,0.9,0.19,11.19,3,6.75,114.77,40.0
Damien Harris,FA,RB,0.0,11.71,155.14,11.9,730.0,55.99,4.5,40.14,3.03,50.14,17.25,5.71,0.42,9.14,0.63,11.71,0.83,13.43,0.96,90.29,6.51,7.16,3.43,0.27,0.0,0.0,166.86,12.73,168.57,12.86,43.57,3.29,1.14,0.07,0.01,0.91,134.6,9.87,9.54,5.34,10.2,2.29,1.14,2.86,2.29,3.14,0.77,0.32,10.17,140.46,10.29,9.96,5.24,10.81,2.29,1.14,4.0,3.14,1.14,0.53,0.09,11.76,146.31,10.7,10.31,5.16,11.61,3.14,1.43,3.43,2.57,1.14,0.41,0.09,10.47,3,9.87,167.79,23.0
Michael Carter,ARI,RB,2.0,14.0,147.0,10.5,639.0,45.64,4.35,29.0,2.07,55.0,17.29,3.0,0.21,4.0,0.29,36.0,2.57,55.0,3.93,325.0,23.21,9.03,16.0,1.14,0.0,0.0,183.0,13.07,202.0,14.43,45.0,3.21,1.0,0.07,0.01,1.0,118.4,8.46,8.5,5.84,8.78,4.0,2.0,4.0,3.0,1.0,0.4,0.08,8.95,136.4,9.74,9.45,6.87,9.85,5.0,2.0,3.0,3.0,1.0,0.4,0.08,11.36,154.4,11.03,10.0,8.0,11.05,6.0,1.0,3.0,3.0,1.0,0.4,0.08,10.45,1,9.81,166.8,24.0
Devin Singletary,NYG,RB,1.0,16.0,173.57,10.9,804.14,50.74,4.64,41.86,2.63,46.29,17.02,5.29,0.34,4.86,0.29,37.86,2.37,48.71,3.06,234.86,14.78,6.24,9.29,0.57,0.86,0.06,211.43,13.27,222.29,13.97,51.14,3.21,0.43,0.03,0.0,1.0,137.33,8.6,7.55,5.74,8.98,6.71,1.86,2.86,3.14,1.43,0.45,0.1,8.67,156.26,9.79,9.06,5.92,10.27,6.57,1.57,3.43,3.0,1.43,0.41,0.1,11.35,175.19,10.98,10.41,6.23,11.7,5.71,2.14,3.14,3.57,1.43,0.48,0.1,10.93,3,8.68,147.49,27.0
Chase Edmonds,TB,RB,1.0,13.29,102.57,7.92,509.57,39.52,4.96,26.29,2.05,45.29,15.03,3.43,0.26,2.0,0.16,41.43,3.12,52.43,3.95,307.57,23.14,7.55,13.0,0.95,1.29,0.08,144.0,11.04,155.0,11.86,39.29,3.0,0.57,0.05,0.01,1.0,100.29,7.61,6.53,5.7,8.07,5.71,1.43,3.14,2.29,0.71,0.3,0.06,7.49,121.0,9.17,8.6,6.39,9.56,5.71,0.29,3.71,2.29,1.29,0.36,0.1,10.54,141.71,10.73,10.67,7.16,11.17,4.86,1.71,3.14,2.29,1.29,0.36,0.1,10.51,3,8.62,146.47,28.0
