Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Travaris Cadet,FA,RB,0.0,7,11,1.57,28,4.0,2.55,2.0,0.29,6,3.0,0,0.0,0,0.0,17,2.43,22,3.14,214,30.57,12.59,9.0,1.29,1,0.14,28,4.0,33,4.71,11.0,1.57,1,0.14,0.04,0.84,28.2,4.03,3.4,4.73,4.41,5,1,0,1,0,0.17,0.0,3.2,36.7,5.24,4.4,5.37,5.64,5,0,1,1,0,0.17,0.0,4.73,45.2,6.46,5.4,6.12,6.92,4,1,1,1,0,0.17,0.0,4.7
Denard Robinson,FA,RB,0.0,13,67,5.15,266,20.46,3.97,10.0,0.77,31,8.77,0,0.0,1,0.08,21,1.62,30,2.31,164,12.62,7.81,8.0,0.62,0,0.0,88,6.77,97,7.46,18.0,1.38,1,0.08,0.01,1.0,47.0,3.62,2.7,4.38,4.04,10,1,1,1,0,0.08,0.0,3.56,57.5,4.42,2.8,5.14,4.81,10,0,1,2,0,0.18,0.0,4.72,68.0,5.23,3.3,6.06,5.62,10,0,1,2,0,0.18,0.0,4.55
Ty Montgomery II,FA,RB,0.0,6,3,0.5,14,2.33,4.67,1.0,0.17,9,2.17,0,0.0,0,0.0,15,2.5,19,3.17,136,22.67,9.07,6.0,1.0,2,0.33,18,3.0,22,3.67,7.0,1.17,0,0.0,0.0,0.78,27.0,4.5,3.1,4.41,5.02,4,0,1,1,0,0.2,0.0,3.04,34.5,5.75,4.85,4.9,6.33,4,1,0,1,0,0.2,0.0,4.58,42.0,7.0,6.6,5.46,7.72,3,2,0,1,0,0.2,0.0,4.98
Steven Jackson,FA,RB,0.0,2,21,10.5,50,25.0,2.38,4.0,2.0,7,6.5,0,0.0,1,0.5,1,0.5,1,0.5,20,10.0,20.0,1.0,0.5,0,0.0,22,11.0,22,11.0,5.0,2.5,0,0.0,0.0,0.44,13.0,6.5,6.5,7.07,6.44,1,0,0,1,0,1.0,0.0,3.22,13.5,6.75,6.75,7.42,6.69,1,0,0,1,0,1.0,0.0,4.56,14.0,7.0,7.0,7.78,7.06,1,0,1,0,0,0.0,0.0,2.97
Kyle Juszczyk,SF,RB,1.0,16,2,0.12,3,0.19,1.5,0.0,0.0,2,0.12,0,0.0,0,0.0,41,2.56,56,3.5,321,20.06,7.83,17.0,1.06,4,0.25,43,2.69,58,3.62,17.0,1.06,0,0.0,0.0,1.0,56.4,3.52,2.0,3.24,4.24,11,1,4,0,0,0.0,0.0,2.86,76.9,4.81,3.45,3.8,5.64,10,2,4,0,0,0.0,0.0,4.53,97.4,6.09,4.6,4.43,7.07,10,1,4,1,0,0.07,0.0,5.12
Jerick McKinnon,FA,RB,0.0,16,52,3.25,271,16.94,5.21,12.0,0.75,68,10.25,0,0.0,2,0.12,21,1.31,29,1.81,173,10.81,8.24,9.0,0.56,1,0.06,73,4.56,81,5.06,21.0,1.31,0,0.0,0.0,1.0,62.4,3.9,1.8,5.85,4.05,14,0,0,1,1,0.14,0.07,3.13,72.9,4.56,2.3,6.21,4.73,13,1,0,0,2,0.14,0.14,4.36,83.4,5.21,3.2,6.6,5.48,13,1,0,0,2,0.14,0.14,4.36
Jonas Gray,FA,RB,0.0,8,45,5.62,176,22.0,3.91,11.0,1.38,23,8.25,1,0.12,0,0.0,7,0.88,8,1.0,76,9.5,10.86,2.0,0.25,0,0.0,52,6.5,53,6.62,13.0,1.62,0,0.0,0.0,0.88,25.2,3.15,3.35,2.21,4.17,7,1,0,0,0,0.0,0.0,3.25,28.7,3.59,3.65,2.61,4.62,6,2,0,0,0,0.0,0.0,4.32,32.2,4.02,4.15,3.11,5.11,7,1,0,0,0,0.0,0.0,3.86
Fred Jackson,FA,RB,0.0,16,26,1.62,100,6.25,3.85,5.0,0.31,16,4.0,0,0.0,0,0.0,32,2.0,41,2.56,257,16.06,8.03,12.0,0.75,2,0.12,58,3.62,67,4.19,17.0,1.06,1,0.06,0.02,1.0,45.7,2.86,2.25,2.21,3.79,12,3,1,0,0,0.0,0.0,2.83,61.7,3.86,3.2,2.56,4.99,12,3,1,0,0,0.0,0.0,4.23,77.7,4.86,4.05,3.0,6.22,11,4,1,0,0,0.0,0.0,4.53
Tre Mason,FA,RB,0.0,13,75,5.77,207,15.92,2.76,10.0,0.77,15,7.23,0,0.0,1,0.08,18,1.38,21,1.62,88,6.77,4.89,4.0,0.31,0,0.0,93,7.15,96,7.38,14.0,1.08,1,0.08,0.01,1.0,33.5,2.58,2.3,2.82,3.21,11,1,1,0,0,0.0,0.0,2.94,42.5,3.27,3.2,3.0,4.07,11,1,1,0,0,0.0,0.0,4.18,51.5,3.96,3.7,3.42,4.91,11,0,2,0,0,0.0,0.0,4.18
Tevin Coleman,FA,RB,0.0,12,87,7.25,392,32.67,4.51,14.0,1.17,46,13.08,1,0.08,1,0.08,2,0.17,11,0.92,14,1.17,7.0,1.0,0.08,0,0.0,89,7.42,98,8.17,15.0,1.25,3,0.25,0.03,1.0,40.6,3.38,2.05,3.32,4.05,9,0,3,0,0,0.0,0.0,3.26,41.6,3.47,2.25,3.28,4.22,9,1,2,0,0,0.0,0.0,4.03,42.6,3.55,2.5,3.26,4.45,9,3,0,0,0,0.0,0.0,3.6
