Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Dominique Dafney,CAR,TE,3.0,5.0,2.0,0.4,2.0,0.4,26.0,5.2,13.0,2.0,0.4,13.0,5.2,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,2.0,0.4,2.0,0.4,0.0,0.0,0.0,0.72,8.6,1.72,0.0,3.17,1.84,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.56,9.6,1.92,0.0,3.38,2.09,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.83,10.6,2.12,0.0,3.6,2.35,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.71,1,0.0,0.0,119.0
Lee Smith,FA,TE,0.0,11.85,4.46,0.38,6.15,0.54,37.0,3.22,8.41,2.92,0.26,23.08,2.83,0.77,0.07,1.85,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,0.38,6.15,0.54,2.92,0.26,0.0,0.0,0.0,0.97,14.78,1.33,0.0,2.85,1.44,9.92,0.77,0.46,0.69,0.0,0.08,0.0,0.72,17.01,1.52,0.0,3.12,1.67,10.0,1.15,0.69,0.0,0.0,0.0,0.0,0.83,19.24,1.71,0.0,3.41,1.91,10.85,0.31,0.69,0.0,0.0,0.0,0.0,0.8,3,0.0,0.0,119.0
Josh Oliver,MIN,TE,2.0,4.0,3.0,0.75,6.0,1.5,15.0,3.75,5.0,1.0,0.25,6.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,6.0,1.5,1.0,0.25,0.0,0.0,0.0,0.65,1.5,0.38,0.45,0.26,0.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,3.0,0.75,0.95,0.51,1.31,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,4.5,1.12,1.45,0.75,1.84,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,2,0.0,0.0,119.0
Darrell Daniels,FA,TE,0.0,11.69,5.77,0.48,8.46,0.71,64.62,5.39,8.88,3.0,0.25,22.38,4.53,1.38,0.12,0.69,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,0.48,8.46,0.71,3.0,0.25,0.0,0.0,0.0,1.0,10.62,0.89,0.03,1.73,1.02,11.0,0.0,0.69,0.0,0.0,0.0,0.0,0.49,13.5,1.13,0.21,1.92,1.32,11.0,0.0,0.69,0.0,0.0,0.0,0.0,0.81,16.38,1.37,0.38,2.13,1.62,11.0,0.69,0.0,0.0,0.0,0.0,0.0,0.87,3,0.0,0.0,119.0
Jeremy Sprinkle,FA,TE,0.0,16.0,7.08,0.44,12.0,0.75,62.92,3.94,6.92,3.23,0.2,10.62,2.97,0.46,0.03,0.31,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08,0.44,12.0,0.75,3.23,0.2,0.0,0.0,0.0,1.0,8.14,0.51,0.35,0.66,0.66,15.69,0.0,0.23,0.08,0.0,0.01,0.0,0.48,11.68,0.73,0.54,0.82,0.95,15.69,0.0,0.31,0.0,0.0,0.0,0.0,0.77,15.22,0.95,0.76,0.98,1.24,15.69,0.0,0.31,0.0,0.0,0.0,0.0,0.88,3,1.53,26.08,68.0
Luke Stocker,FA,TE,0.0,15.77,7.85,0.5,12.46,0.79,68.54,4.34,8.6,4.0,0.25,23.85,4.27,0.85,0.05,0.15,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,0.5,12.54,0.8,4.0,0.25,0.0,0.0,0.0,1.0,7.78,0.49,0.07,0.78,0.73,15.62,0.0,0.08,0.08,0.0,0.01,0.0,0.4,11.7,0.74,0.11,1.09,1.05,15.62,0.0,0.15,0.0,0.0,0.0,0.0,0.67,15.62,0.99,0.15,1.41,1.36,15.62,0.0,0.15,0.0,0.0,0.0,0.0,0.68,3,1.41,24.04,72.0
Josiah Deguara,JAC,TE,2.0,2.0,1.0,0.5,2.0,1.0,12.0,6.0,12.0,1.0,0.5,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,1.0,0.5,0.0,0.0,0.0,0.44,1.2,0.6,0.6,0.85,0.89,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.7,0.85,0.85,1.2,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,2.2,1.1,1.1,1.56,1.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0.0,0.0,119.0
Jason Croom,FA,TE,0.0,4.15,2.38,0.29,3.38,0.35,22.0,1.85,2.98,1.46,0.22,4.08,1.52,0.38,0.03,0.77,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.29,3.38,0.35,1.46,0.22,0.15,0.01,0.01,0.59,6.51,1.24,0.11,2.35,1.34,3.38,0.69,0.0,0.08,0.0,0.01,0.0,0.45,7.7,1.38,0.15,2.54,1.52,3.38,0.69,0.08,0.0,0.0,0.0,0.0,0.63,8.89,1.52,0.22,2.73,1.7,4.0,0.08,0.08,0.0,0.0,0.0,0.0,0.6,3,0.0,0.0,119.0
Luke Willson,FA,TE,0.0,8.69,3.54,0.36,5.85,0.62,33.23,3.54,11.1,2.23,0.24,13.23,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.36,5.85,0.62,2.23,0.24,0.0,0.0,0.0,0.9,3.32,0.35,0.2,0.57,0.55,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.34,5.09,0.53,0.35,0.84,0.78,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.86,0.72,0.51,1.11,1.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.62,3,0.0,0.0,119.0
Eric Saubert,SF,TE,2.0,7.23,2.92,0.52,4.15,0.74,19.62,4.04,6.85,1.08,0.21,10.08,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.52,4.15,0.74,1.08,0.21,0.0,0.0,0.0,0.79,1.96,0.4,0.24,0.29,0.97,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.32,3.42,0.66,0.36,0.47,1.54,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.58,4.88,0.91,0.47,0.67,2.11,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.63,3,0.0,0.0,119.0
