Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Ed Dickson,FA,TE,0.0,16,54,3.38,89,5.56,528,33.0,9.78,30.0,1.88,25,14.94,0,0.0,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,54,3.38,89,5.56,30.0,1.88,0,0.0,0.0,1.0,82.8,5.18,3.5,5.01,4.95,10,2,1,2,1,0.23,0.07,4.33,109.8,6.86,5.25,5.97,6.49,9,3,1,2,1,0.23,0.07,6.58,136.8,8.55,7.0,7.0,8.03,9,2,3,1,1,0.14,0.07,6.86
Heath Miller,FA,TE,0.0,16,51,3.19,75,4.69,631,39.44,12.37,36.0,2.25,39,18.31,0,0.0,2,0.12,1,0.06,6,0.38,6.0,1.0,0.06,0,0.0,52,3.25,76,4.75,37.0,2.31,1,0.06,0.02,1.0,73.7,4.61,2.9,3.89,4.69,10,0,3,2,1,0.23,0.07,3.9,99.2,6.2,4.65,4.51,6.29,10,0,3,3,0,0.23,0.0,6.31,124.7,7.79,6.4,5.2,7.89,10,0,2,4,0,0.33,0.0,6.6
Greg Olsen,FA,TE,0.0,16,45,2.81,89,5.56,540,33.75,12.0,27.0,1.69,44,18.56,0,0.0,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,45,2.81,89,5.56,27.0,1.69,1,0.06,0.02,1.0,84.0,5.25,2.95,4.84,5.06,10,0,2,2,2,0.33,0.14,4.37,106.5,6.66,4.2,5.58,6.41,9,1,2,2,2,0.33,0.14,6.25,129.0,8.06,5.95,6.38,7.75,9,1,2,2,2,0.33,0.14,6.64
Jeremy Shockey,FA,TE,0.0,15,37,2.47,62,4.13,455,30.33,12.3,24.0,1.6,29,16.87,0,0.0,4,0.27,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,37,2.47,62,4.13,24.0,1.6,1,0.07,0.03,1.0,67.5,4.5,4.1,2.38,5.18,8,4,2,1,0,0.07,0.0,4.23,86.0,5.73,5.2,2.37,6.83,8,5,2,0,0,0.0,0.0,6.03,104.5,6.97,7.1,2.46,8.5,9,4,2,0,0,0.0,0.0,6.65
Scott Chandler,FA,TE,0.0,14,38,2.71,46,3.29,389,27.79,10.24,25.0,1.79,31,12.86,0,0.0,6,0.43,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,38,2.71,46,3.29,25.0,1.79,1,0.07,0.03,1.0,72.9,5.21,3.15,5.63,4.83,8,1,3,0,2,0.17,0.17,3.97,91.9,6.56,4.65,6.06,6.19,8,2,2,0,2,0.17,0.17,6.0,110.9,7.92,6.15,6.56,7.56,8,2,2,0,2,0.17,0.17,6.26
Kevin Boss,FA,TE,0.0,12,28,2.33,40,3.33,368,30.67,13.14,18.0,1.5,35,17.0,0,0.0,3,0.25,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,28,2.33,40,3.33,18.0,1.5,0,0.0,0.0,1.0,54.8,4.57,3.65,3.75,4.69,7,1,1,3,0,0.33,0.0,4.09,68.8,5.73,5.4,4.3,5.89,8,0,2,2,0,0.2,0.0,5.86,82.8,6.9,6.65,4.93,7.07,7,1,3,1,0,0.09,0.0,5.95
Benjamin Watson,FA,TE,0.0,13,37,2.85,71,5.46,410,31.54,11.08,21.0,1.62,34,15.85,0,0.0,2,0.15,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,37,2.85,71,5.46,21.0,1.62,0,0.0,0.0,1.0,53.0,4.08,3.0,3.43,4.28,9,2,0,2,0,0.18,0.0,3.7,71.5,5.5,4.5,3.99,5.76,9,1,1,2,0,0.18,0.0,5.7,90.0,6.92,6.0,4.57,7.23,9,1,1,2,0,0.18,0.0,6.08
Tony Scheffler,FA,TE,0.0,15,26,1.73,43,2.87,347,23.13,13.35,20.0,1.33,36,15.6,0,0.0,6,0.4,1,0.07,5,0.33,5.0,0.0,0.0,0,0.0,27,1.8,44,2.93,20.0,1.33,0,0.0,0.0,1.0,73.2,4.88,4.1,4.69,4.74,8,1,2,3,1,0.36,0.07,4.38,86.2,5.75,5.1,5.12,5.65,9,1,2,2,1,0.25,0.07,5.68,99.2,6.61,6.1,5.57,6.58,9,1,3,1,1,0.15,0.07,5.67
Visanthe Shiancoe,FA,TE,0.0,16,36,2.25,71,4.44,409,25.56,11.36,26.0,1.62,37,13.62,0,0.0,3,0.19,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,36,2.25,71,4.44,26.0,1.62,0,0.0,0.0,1.0,58.9,3.68,3.45,3.19,3.94,12,1,1,2,0,0.14,0.0,3.59,76.9,4.81,4.75,3.85,5.07,11,2,1,2,0,0.14,0.0,5.38,94.9,5.93,6.0,4.62,6.18,12,1,2,1,0,0.07,0.0,5.41
Todd Heap,FA,TE,0.0,8,24,3.0,36,4.5,283,35.38,11.79,9.0,1.12,28,16.25,0,0.0,1,0.12,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,24,3.0,36,4.5,9.0,1.12,0,0.0,0.0,0.88,34.3,4.29,4.05,3.16,4.6,5,1,1,1,0,0.14,0.0,3.63,46.3,5.79,5.55,4.01,6.05,5,0,3,0,0,0.0,0.0,5.06,58.3,7.29,7.05,5.01,7.44,4,1,2,1,0,0.14,0.0,5.69
