Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Elijah Moore,CLE,WR,3.0,15.42,48.68,3.2,86.0,5.65,557.26,36.94,11.58,25.74,1.7,46.21,18.36,8.68,0.58,2.32,0.17,6.89,0.44,18.16,1.44,3.17,2.21,0.15,0.21,0.02,55.58,3.64,92.89,6.1,27.95,1.85,0.95,0.06,0.01,1.0,70.81,4.87,3.47,4.23,5.32,12.42,0.89,0.68,1.0,0.42,0.13,0.05,4.35,95.15,6.47,5.56,4.93,7.05,11.63,1.68,1.0,0.68,0.42,0.11,0.05,6.78,119.49,8.06,6.69,5.74,8.73,11.37,2.16,0.79,0.68,0.42,0.11,0.05,6.98,3,3.75,63.76,96.0
Dontayvion Wicks,GB,WR,5.0,15.0,39.0,2.6,58.0,3.87,581.0,38.73,14.9,29.0,1.93,35.0,19.13,11.0,0.73,4.0,0.27,1.0,0.07,1.0,0.07,1.0,0.0,0.0,0.0,0.0,40.0,2.67,59.0,3.93,29.0,1.93,1.0,0.07,0.02,1.0,80.8,5.39,4.3,4.93,5.75,10.0,0.0,4.0,0.0,1.0,0.07,0.07,4.61,100.3,6.69,5.8,5.64,7.1,10.0,2.0,2.0,0.0,1.0,0.07,0.07,6.72,119.8,7.99,7.3,6.4,8.46,10.0,3.0,1.0,0.0,1.0,0.07,0.07,6.9,1,8.96,152.4,28.0
JuJu Smith-Schuster,FA,WR,0.0,11.89,48.35,3.75,68.42,5.54,492.46,37.12,9.68,25.43,1.9,38.29,16.13,5.52,0.4,2.35,0.16,0.55,0.11,1.66,0.33,0.55,0.18,0.04,0.18,0.04,48.91,3.86,68.97,5.65,25.62,1.93,0.68,0.04,0.01,0.95,63.54,4.85,3.33,4.12,5.32,8.52,0.4,1.4,0.77,0.8,0.14,0.06,4.09,87.71,6.72,4.97,4.87,7.3,8.12,0.4,1.52,0.77,1.08,0.17,0.08,6.51,111.89,8.6,6.86,5.74,9.24,7.58,0.94,1.0,1.17,1.2,0.25,0.09,7.1,5,3.25,55.26,109.0
DeVante Parker,FA,WR,0.0,12.57,37.43,3.01,62.02,5.01,505.6,40.55,13.7,24.88,2.01,35.94,18.13,7.78,0.62,1.69,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.43,3.01,62.02,5.01,24.88,2.01,0.0,0.0,0.0,0.99,60.71,4.87,3.31,3.98,5.48,8.88,1.75,0.77,0.62,0.55,0.12,0.05,4.2,79.43,6.37,4.77,4.8,7.06,8.49,2.23,0.43,0.86,0.55,0.15,0.05,6.44,98.14,7.88,6.26,5.67,8.61,8.77,2.08,0.49,0.68,0.55,0.12,0.05,6.61,5,2.26,38.35,135.0
Rondale Moore,ATL,WR,2.0,13.53,43.26,3.54,60.53,4.9,389.05,32.69,9.05,16.89,1.38,50.95,16.96,4.42,0.39,1.0,0.08,18.95,1.29,98.74,5.91,3.64,3.11,0.2,0.47,0.03,62.21,4.83,79.47,6.19,20.0,1.58,0.21,0.01,0.0,0.96,57.2,4.49,3.79,4.35,4.93,10.74,0.79,0.53,0.95,0.53,0.12,0.06,4.15,78.83,6.26,5.7,5.09,6.8,10.21,1.0,1.0,0.79,0.53,0.15,0.06,6.39,100.46,8.04,7.52,5.94,8.63,9.89,1.26,1.05,0.79,0.53,0.15,0.06,6.97,3,3.79,64.35,94.0
Josh Reynolds,DEN,WR,3.0,14.38,38.89,2.74,61.94,4.37,534.37,37.31,13.79,27.91,1.95,34.42,17.77,11.37,0.76,3.52,0.24,0.12,0.01,0.62,0.04,0.62,0.0,0.0,0.0,0.0,39.02,2.75,62.06,4.38,27.91,1.95,0.54,0.03,0.01,1.0,73.56,5.11,3.72,4.78,5.5,9.77,1.37,1.49,1.06,0.69,0.15,0.05,4.4,93.01,6.48,4.74,5.55,6.92,9.65,1.49,1.49,1.06,0.69,0.15,0.05,6.35,112.45,7.86,5.87,6.36,8.34,10.29,1.12,1.4,0.88,0.69,0.13,0.05,6.37,5,5.24,89.04,68.0
Wan'Dale Robinson,NYG,WR,1.0,11.4,45.2,3.93,59.2,5.19,405.8,36.13,9.2,22.6,2.03,27.4,13.92,4.2,0.28,1.0,0.11,6.2,0.49,51.8,3.41,5.6,2.4,0.16,0.6,0.04,51.4,4.43,65.4,5.68,25.0,2.19,0.0,0.0,0.0,0.91,55.36,4.84,2.86,4.21,5.37,8.2,0.0,2.0,1.2,0.0,0.09,0.0,3.64,77.96,6.8,4.86,5.12,7.41,7.6,0.6,1.6,1.6,0.0,0.17,0.0,6.3,100.56,8.77,6.92,6.13,9.41,7.2,0.8,1.8,1.6,0.0,0.17,0.0,6.7,2,5.53,94.04,60.0
Hunter Renfrow,FA,WR,0.0,14.94,46.26,3.16,62.32,4.27,469.68,31.69,10.08,22.91,1.57,39.75,14.98,4.78,0.32,2.46,0.17,0.55,0.03,0.55,0.03,0.18,0.0,0.0,0.0,0.0,46.82,3.19,62.88,4.31,22.91,1.57,1.0,0.07,0.03,0.99,59.79,4.04,3.57,2.84,4.76,12.29,0.12,1.2,1.14,0.18,0.12,0.01,3.89,82.92,5.62,5.28,3.57,6.48,11.8,0.8,0.65,1.51,0.18,0.17,0.01,6.08,106.05,7.2,6.96,4.37,8.14,11.34,1.14,0.77,1.32,0.37,0.17,0.02,6.64,5,1.95,33.14,139.0
Allen Robinson II,NYG,WR,3.0,14.02,42.83,3.12,65.52,4.81,439.72,32.15,9.77,22.54,1.72,33.28,14.46,5.29,0.38,1.75,0.14,0.12,0.01,-0.12,-0.01,-0.12,0.0,0.0,0.0,0.0,42.95,3.12,65.65,4.82,22.54,1.72,0.0,0.0,0.0,0.99,54.85,4.11,3.1,3.02,4.8,11.35,1.09,0.12,0.95,0.49,0.17,0.04,3.85,76.27,5.67,4.69,3.64,6.57,11.23,1.09,0.4,0.8,0.49,0.14,0.04,6.01,97.68,7.23,6.32,4.32,8.3,11.42,0.78,0.68,0.65,0.49,0.13,0.04,6.45,5,3.09,52.61,114.0
Michael Gallup,FA,WR,0.0,14.57,38.65,2.78,68.54,4.94,476.95,34.21,12.22,24.48,1.77,38.85,17.4,6.06,0.43,2.92,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.65,2.78,68.54,4.94,24.48,1.77,0.0,0.0,0.0,0.99,65.23,4.66,3.33,4.13,5.24,11.45,0.12,1.94,0.54,0.52,0.08,0.04,4.0,84.56,6.05,4.69,4.64,6.81,10.63,1.4,1.48,0.82,0.25,0.08,0.02,6.0,103.88,7.44,6.25,5.23,8.38,10.91,1.12,1.89,0.4,0.25,0.05,0.02,6.31,5,1.71,29.01,143.0
