Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Doug Baldwin,FA,WR,0.0,16,78,4.88,103,6.44,1069,66.81,13.71,47.0,2.94,80,28.44,9,0.56,14,0.88,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,78,4.88,103,6.44,47.0,2.94,0,0.0,0.0,1.0,190.9,11.93,8.3,9.53,10.8,7,1,1,1,6,0.78,0.6,9.79,229.9,14.37,10.05,10.07,13.2,8,1,0,2,5,0.78,0.45,12.78,268.9,16.81,12.3,10.66,15.67,7,2,0,1,6,0.78,0.6,13.34
Steve Smith,FA,WR,0.0,7,46,6.57,73,10.43,670,95.71,14.57,28.0,4.0,50,31.0,9,1.29,3,0.43,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,46,6.57,73,10.43,28.0,4.0,0,0.0,0.0,0.84,85.0,12.14,8.2,10.43,10.74,2,2,0,1,2,0.75,0.4,8.3,108.0,15.43,10.7,12.2,13.51,2,2,0,0,3,0.75,0.75,12.33,131.0,18.71,13.2,14.01,16.3,2,2,0,0,3,0.75,0.75,12.1
Michael Crabtree,FA,WR,0.0,16,85,5.31,146,9.12,922,57.62,10.85,45.0,2.81,38,22.06,11,0.69,9,0.56,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,85,5.31,146,9.12,45.0,2.81,0,0.0,0.0,1.0,146.2,9.14,7.95,5.64,9.43,6,3,3,1,3,0.33,0.23,8.58,188.7,11.79,10.25,6.2,12.23,6,4,2,1,3,0.33,0.23,12.03,231.2,14.45,12.7,6.81,15.07,6,4,2,1,3,0.33,0.23,12.74
Jordan Matthews,CAR,WR,1.0,16,85,5.31,128,8.0,997,62.31,11.73,44.0,2.75,78,25.06,7,0.44,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,85,5.31,128,8.0,44.0,2.75,1,0.06,0.01,1.0,145.7,9.11,7.3,6.97,8.91,8,0,2,2,4,0.6,0.33,8.38,188.2,11.76,9.5,7.77,11.53,8,1,1,2,4,0.6,0.33,11.68,230.7,14.42,11.75,8.66,14.16,8,1,1,2,4,0.6,0.33,12.26
T.Y. Hilton,FA,WR,0.0,16,69,4.31,134,8.38,1124,70.25,16.29,49.0,3.06,87,31.56,8,0.5,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,69,4.31,134,8.38,49.0,3.06,0,0.0,0.0,1.0,142.4,8.9,7.45,7.03,8.69,8,3,1,2,2,0.33,0.14,7.9,176.9,11.06,10.45,7.42,10.97,7,3,2,2,2,0.33,0.14,11.54,211.4,13.21,13.3,7.88,13.29,7,4,1,2,2,0.33,0.14,12.08
Ted Ginn Jr.,FA,WR,0.0,15,44,2.93,96,6.4,739,49.27,16.8,36.0,2.4,74,28.13,4,0.27,10,0.67,4,0.27,60,4.0,15.0,2.0,0.13,0,0.0,48,3.2,100,6.67,38.0,2.53,0,0.0,0.0,1.0,139.9,9.33,9.3,7.61,8.93,7,0,4,1,3,0.36,0.25,8.73,161.9,10.79,11.3,8.2,10.44,7,1,3,1,3,0.36,0.25,11.4,183.9,12.26,13.3,8.85,11.98,7,1,4,0,3,0.25,0.25,11.42
Amari Cooper,CLE,WR,1.0,16,72,4.5,130,8.12,1070,66.88,14.86,45.0,2.81,68,27.06,8,0.5,6,0.38,3,0.19,-3,-0.19,-1.0,0.0,0.0,0,0.0,75,4.69,133,8.31,45.0,2.81,1,0.06,0.01,1.0,140.7,8.79,7.05,7.17,8.54,8,1,2,2,3,0.45,0.23,7.91,176.7,11.04,9.3,8.06,10.73,8,1,1,3,3,0.6,0.23,11.23,212.7,13.29,11.55,9.01,12.93,8,1,1,3,3,0.6,0.23,11.6
Golden Tate,FA,WR,0.0,16,90,5.62,128,8.0,813,50.81,9.03,50.0,3.12,43,20.44,4,0.25,6,0.38,6,0.38,41,2.56,6.83,3.0,0.19,0,0.0,96,6.0,134,8.38,53.0,3.31,1,0.06,0.01,1.0,119.4,7.46,6.25,4.85,8.0,10,2,2,0,2,0.14,0.14,6.92,164.4,10.28,9.55,5.56,10.95,8,4,1,1,2,0.23,0.14,11.19,209.4,13.09,12.95,6.36,13.89,7,1,5,1,2,0.23,0.14,12.06
Rishard Matthews,FA,WR,0.0,11,43,3.91,61,5.55,662,60.18,15.4,31.0,2.82,53,27.09,6,0.55,4,0.36,1,0.09,4,0.36,4.0,0.0,0.0,0,0.0,44,4.0,62,5.64,31.0,2.82,0,0.0,0.0,1.0,90.6,8.24,8.5,6.62,8.16,5,1,2,2,1,0.38,0.1,7.83,112.1,10.19,11.4,7.44,10.1,4,1,3,2,1,0.38,0.1,11.17,133.6,12.15,13.4,8.34,12.04,4,2,3,1,1,0.22,0.1,11.17
Kamar Aiken,FA,WR,0.0,16,75,4.69,127,7.94,944,59.0,12.59,54.0,3.38,48,21.81,6,0.38,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,75,4.69,127,7.94,54.0,3.38,1,0.06,0.01,1.0,122.4,7.65,7.45,5.13,8.08,7,5,1,2,1,0.23,0.07,7.4,159.9,9.99,9.95,6.02,10.44,5,6,2,2,1,0.23,0.07,11.03,197.4,12.34,12.4,7.01,12.78,4,5,4,2,1,0.23,0.07,11.26
